employee_id,salary,effective_date
1,51174,2020-06-07
1,101621,2021-06-07
1,114172,2023-03-07
2,114002,2025-05-25
3,81112,2022-05-02
3,144381,2023-12-02
3,198110,2025-03-02
4,44483,2018-09-13
4,50160,2019-11-13
4,87080,2021-01-13
4,143277,2022-09-13
4,230888,2024-07-13
5,84740,2021-02-24
5,104486,2022-07-24
5,155958,2024-04-24
5,171199,2025-05-24
6,223469,2020-03-22
6,415419,2022-02-22
6,510135,2023-11-22
6,590397,2025-10-22
7,51952,2016-09-05
7,64656,2018-08-05
7,77655,2020-06-05
7,124612,2021-08-05
7,244914,2023-05-05
7,351838,2025-02-05
8,48850,2023-05-26
8,93984,2025-02-26
9,83723,2021-07-02
9,89835,2023-02-02
9,180621,2024-12-02
9,266077,2025-12-02
10,158392,2023-12-26
10,188113,2025-08-26
11,92633,2021-10-06
11,185198,2023-09-06
11,282780,2025-01-06
12,56299,2016-12-16
12,82827,2018-05-16
12,158761,2019-05-16
12,177208,2020-09-16
12,237375,2022-06-16
12,251800,2023-07-16
12,284282,2025-03-16
13,93849,2019-05-16
13,182274,2021-01-16
13,255529,2022-07-16
13,417977,2023-12-16
13,470479,2025-05-16
14,51725,2025-03-08
15,57421,2023-07-28
15,96148,2024-11-28
16,85280,2021-02-26
16,97141,2022-12-26
16,114893,2024-01-26
16,141274,2025-03-26
17,101508,2020-08-21
17,139540,2021-12-21
17,193301,2023-07-21
17,261526,2025-06-21
18,159864,2018-12-28
18,302090,2020-08-28
18,334356,2021-10-28
18,465557,2022-12-28
18,499813,2024-11-28
19,182031,2018-11-18
19,357961,2020-01-18
19,399080,2021-12-18
19,419184,2023-09-18
19,491992,2025-01-18
20,330420,2022-09-13
20,479161,2024-03-13
20,754572,2025-08-13
21,193498,2020-06-19
21,246291,2022-05-19
21,406936,2023-09-19
21,496927,2024-11-19
22,76996,2019-01-17
22,87721,2020-10-17
22,145462,2022-08-17
22,206144,2024-03-17
22,361025,2025-10-17
23,79572,2017-02-06
23,104945,2019-01-06
23,109370,2020-07-06
23,164248,2021-12-06
23,255122,2023-08-06
23,502000,2024-09-06
23,641816,2025-11-06
24,151491,2022-12-09
24,192084,2024-07-09
25,78041,2021-04-14
25,119340,2022-12-14
25,159753,2024-07-14
26,72799,2016-12-05
26,141571,2017-12-05
26,190523,2019-02-05
26,270227,2020-05-05
26,401131,2021-12-05
26,765887,2023-04-05
26,1240308,2024-11-05
27,51464,2025-04-17
28,72366,2020-04-05
28,101469,2021-12-05
28,170684,2023-11-05
28,311573,2025-02-05
29,255481,2016-06-08
29,360507,2017-11-08
29,510893,2019-08-08
29,907742,2020-11-08
29,1343217,2022-04-08
29,1705806,2024-02-08
29,3360652,2025-11-08
30,89893,2023-08-31
30,172619,2025-05-31
31,84608,2021-04-04
31,169189,2022-09-04
31,257919,2023-09-04
31,429114,2025-03-04
32,145126,2018-10-12
32,281275,2020-02-12
32,302991,2022-01-12
32,392471,2023-03-12
32,562576,2024-04-12
32,657223,2025-04-12
33,151699,2025-06-26
34,314751,2021-09-08
34,376483,2023-03-08
34,583668,2024-07-08
35,48134,2017-10-12
35,49816,2018-11-12
35,80352,2020-09-12
35,157397,2021-11-12
35,216774,2023-08-12
35,246428,2024-09-12
36,98096,2022-02-06
36,184487,2023-02-06
36,371558,2024-07-06
36,382848,2025-07-06
37,76495,2025-10-13
38,60312,2021-04-06
38,78931,2022-07-06
38,156077,2024-02-06
38,168448,2025-07-06
39,62117,2018-12-09
39,67758,2020-11-09
40,55993,2017-09-09
40,70572,2019-07-09
40,74041,2020-09-09
40,142070,2022-06-09
40,191219,2023-10-09
40,311695,2025-06-09
41,73456,2024-06-21
41,91715,2025-10-21
42,305066,2023-09-09
42,386903,2025-02-09
43,126941,2018-01-02
43,136462,2019-12-02
43,245937,2021-10-02
43,393005,2023-02-02
43,435800,2025-01-02
44,70488,2016-03-30
44,81805,2018-02-28
44,133618,2019-06-28
44,194701,2021-05-28
44,337449,2023-03-28
44,677547,2024-07-28
45,37712,2019-03-25
45,47009,2021-02-25
45,60171,2022-10-25
45,105151,2023-11-25
45,148832,2025-05-25
46,164570,2020-08-28
46,196810,2021-12-28
46,352473,2023-01-28
46,553433,2024-05-28
46,759415,2025-06-28
47,138863,2021-07-01
47,160187,2022-09-01
47,207839,2023-11-01
47,316134,2025-03-01
48,279506,2020-06-22
48,374449,2021-09-22
48,443379,2023-05-22
48,876093,2024-11-22
49,337721,2024-02-11
49,468062,2025-06-11
50,58145,2018-12-28
50,66863,2020-03-28
50,115825,2021-03-28
50,201102,2022-09-28
50,358174,2024-06-28
50,468363,2025-09-28
51,54198,2023-09-05
51,92873,2025-01-05
52,99128,2023-10-31
52,180802,2025-08-31
53,70292,2017-12-17
53,118483,2019-03-17
53,184280,2020-10-17
53,358906,2022-09-17
53,540829,2023-09-17
53,743971,2025-02-17
54,83109,2024-02-29
54,134353,2025-08-29
55,46737,2024-07-09
55,55646,2025-08-09
56,104638,2025-12-30
57,174251,2023-10-26
57,322863,2025-09-26
58,75711,2019-03-17
58,140517,2021-02-17
58,247847,2022-06-17
58,345640,2023-07-17
58,674050,2025-04-17
59,194352,2020-01-23
59,202092,2021-01-23
59,392230,2022-02-23
59,571688,2023-10-23
59,679855,2025-02-23
60,240602,2016-10-24
60,457650,2018-05-24
60,821086,2020-02-24
60,878265,2021-10-24
60,1177457,2023-02-24
60,1797657,2024-02-24
60,2074834,2026-01-24
61,109994,2018-02-23
61,148625,2019-05-23
61,245375,2021-02-23
61,308958,2022-06-23
61,350452,2023-11-23
61,376166,2025-05-23
62,179977,2022-12-04
62,337685,2024-04-04
62,491952,2025-07-04
63,94662,2022-07-19
63,153755,2024-06-19
63,311392,2026-01-19
64,233226,2024-04-06
64,334094,2025-04-06
65,54949,2017-04-06
65,90206,2018-11-06
65,121283,2020-02-06
65,240225,2022-01-06
65,397141,2023-04-06
65,542123,2025-01-06
66,87051,2022-03-08
66,147289,2023-10-08
66,274941,2024-10-08
67,141933,2021-07-11
67,152201,2022-10-11
67,183449,2024-02-11
