employee_id,score,survey_date,feedback
1,5,2026-01-10,Need better coffee
2,8,2026-01-25,Need better coffee
3,7,2026-01-22,Love the culture
4,7,2026-02-03,Work-life balance is okay
5,9,2026-01-25,Work-life balance is okay
6,5,2026-01-26,Excellent benefits
7,9,2026-01-09,Great company!
8,8,2026-01-19,Great company!
9,2,2026-01-24,Need better coffee
10,8,2026-01-30,Growth opportunities are good
11,3,2026-01-26,Growth opportunities are good
12,9,2026-02-01,Excellent benefits
13,7,2026-02-06,Need better coffee
14,1,2026-01-20,Love the culture
15,10,2026-02-03,Love the culture
16,4,2026-01-17,Great company!
17,10,2026-01-24,Growth opportunities are good
18,9,2026-01-17,Excellent benefits
19,2,2026-01-13,Need better coffee
20,8,2026-01-18,Need better coffee
21,9,2026-02-01,Excellent benefits
22,8,2026-02-04,Love the culture
23,7,2026-02-04,Excellent benefits
24,9,2026-01-30,Work-life balance is okay
25,10,2026-01-16,Work-life balance is okay
26,7,2026-01-29,Work-life balance is okay
27,9,2026-01-19,Great company!
28,7,2026-02-06,Excellent benefits
29,8,2026-01-26,Excellent benefits
30,8,2026-02-01,Growth opportunities are good
31,9,2026-01-12,Great company!
32,8,2026-01-09,Excellent benefits
33,10,2026-01-31,Excellent benefits
34,2,2026-01-24,Great company!
35,10,2026-02-01,Excellent benefits
36,8,2026-01-28,Growth opportunities are good
37,7,2026-01-11,Great company!
38,3,2026-02-03,Excellent benefits
39,0,2026-01-18,Growth opportunities are good
40,3,2026-01-16,Need better coffee
41,10,2026-01-17,Work-life balance is okay
42,9,2026-02-06,Growth opportunities are good
43,4,2026-01-23,Need better coffee
44,0,2026-01-28,Need better coffee
45,9,2026-02-01,Excellent benefits
46,10,2026-01-28,Love the culture
47,8,2026-01-20,Growth opportunities are good
48,10,2026-01-28,Great company!
49,4,2026-01-24,Work-life balance is okay
50,9,2026-01-18,Work-life balance is okay
51,4,2026-01-12,Love the culture
52,10,2026-01-16,Love the culture
53,8,2026-01-30,Love the culture
54,9,2026-01-09,Love the culture
55,10,2026-01-17,Great company!
56,10,2026-02-01,Need better coffee
57,3,2026-02-03,Growth opportunities are good
58,8,2026-02-03,Need better coffee
59,9,2026-01-09,Need better coffee
60,10,2026-01-12,Great company!
61,8,2026-01-08,Work-life balance is okay
62,7,2026-01-29,Excellent benefits
63,9,2026-01-31,Need better coffee
64,3,2026-01-26,Growth opportunities are good
65,10,2026-01-15,Work-life balance is okay
66,9,2026-01-13,Growth opportunities are good
67,1,2026-01-22,Love the culture
68,8,2026-02-03,Great company!
69,10,2026-02-03,Excellent benefits
70,10,2026-01-12,Love the culture
71,8,2026-01-15,Work-life balance is okay
72,10,2026-01-14,Need better coffee
73,9,2026-02-03,Excellent benefits
74,9,2026-01-14,Love the culture
75,10,2026-01-20,Love the culture
76,5,2026-01-30,Growth opportunities are good
77,10,2026-01-28,Growth opportunities are good
78,9,2026-01-25,Growth opportunities are good
79,9,2026-01-14,Work-life balance is okay
80,8,2026-01-16,Growth opportunities are good
81,10,2026-01-22,Great company!
